"subject","predicate","object"
"http://dbpedia.org/resource/Beth_Chapman","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Beth_Chapman","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/UN/LOCODE:USGRN","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Alabama_State_Route_245","http://dbpedia.org/ontology/routeStart","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Alabama_State_Route_245","http://dbpedia.org/ontology/routeEnd","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Greenville,_Al","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/WGYV","http://dbpedia.org/property/city","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Phil_Hancock","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Marty_Raybon","http://dbpedia.org/ontology/hometown","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Marty_Raybon","http://dbpedia.org/property/origin","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/First_Presbyterian_Church_(Greenville,_Alabama)","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/My_Kind_of_Town_(TV_series)","http://dbpedia.org/property/title","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Mark_Matthews","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Mark_Matthews","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Mark_Matthews","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Lewis_B._Porterfield","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Lewis_B._Porterfield","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Lewis_B._Porterfield","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Alabama_State_Route_263","http://dbpedia.org/ontology/routeStart","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Greenville","http://dbpedia.org/ontology/wikiPageDisambiguates","http://dbpedia.org/resource/Greenville,_Alabama"
"http://dbpedia.org/resource/Greenville,_Alabama","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Wikidata:Q532"
"http://dbpedia.org/resource/Greenville,_Alabama","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Place"
"http://dbpedia.org/resource/Greenville,_Alabama","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/PopulatedPlace"
