"subject","predicate","object"
"http://dbpedia.org/resource/Georgia_State_Route_100","http://dbpedia.org/ontology/routeStart","http://dbpedia.org/resource/Greenville,_Georgia"
"http://dbpedia.org/resource/Georgia_State_Route_109","http://dbpedia.org/ontology/routeJunction","http://dbpedia.org/resource/Greenville,_Georgia"
"http://dbpedia.org/resource/WALR-FM","http://dbpedia.org/property/city","http://dbpedia.org/resource/Greenville,_Georgia"
"http://en.wikipedia.org/wiki/Greenville,_Georgia","http://xmlns.com/foaf/0.1/primaryTopic","http://dbpedia.org/resource/Greenville,_Georgia"
"http://dbpedia.org/resource/Robert_Brown_(Georgia_politician)","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Georgia"
"http://dbpedia.org/resource/Greenville","http://dbpedia.org/ontology/wikiPageDisambiguates","http://dbpedia.org/resource/Greenville,_Georgia"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/PopulatedPlace"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Wikidata:Q532"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Place"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/City"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/City"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Settlement"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.opengis.net/gml/_Feature"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Place"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/d0:Location"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/2000/01/rdf-schema#label","Greenville, Georgia"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/2000/01/rdf-schema#comment","Greenville is a city in Meriwether County, Georgia, United States. The population was 946 at the 2000 census. The city is the county seat of Meriwether County. 54.9 miles (88.4 km) southwest of Atlanta. It is part of the Atlanta metropolitan area (Atlanta-Sandy Springs-Marietta, Georgia Metropolitan Statistical Area)."
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Greenville_(Georgia)"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/2002/07/owl#sameAs","http://www.wikidata.org/entity/Q2416565"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/2002/07/owl#sameAs","http://nl.dbpedia.org/resource/Greenville_(Georgia)"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/2002/07/owl#sameAs","http://pt.dbpedia.org/resource/Greenville_(Geórgia)"
"http://dbpedia.org/resource/Greenville,_Georgia","http://www.w3.org/2002/07/owl#sameAs","http://fr.dbpedia.org/resource/Greenville_(Géorgie)"
"http://dbpedia.org/resource/Greenville,_Georgia","http://dbpedia.org/property/hasPhotoCollection","http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Greenville,_Georgia"
"http://dbpedia.org/resource/Greenville,_Georgia","http://dbpedia.org/property/unitPref","Imperial"
"http://dbpedia.org/resource/Greenville,_Georgia","http://xmlns.com/foaf/0.1/homepage","http://www.cityofgreenvillega.com"
