"subject","predicate","object"
"http://dbpedia.org/resource/Job_Adams_Cooper","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Job_Adams_Cooper","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Job_Adams_Cooper","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/UN/LOCODE:USGRE","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Greenville_College","http://dbpedia.org/property/city","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Greenville_College","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Greenville,_IL","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Greenville,_Il","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/National_Register_of_Historic_Places_listings_in_Illinois","http://dbpedia.org/property/city","http://dbpedia.org/resource/Greenville,_Illinois"
"http://en.wikipedia.org/wiki/Greenville,_Illinois","http://xmlns.com/foaf/0.1/primaryTopic","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Clint_Tracy","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Clint_Tracy","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Clint_Tracy","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Greenville_IL","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Greenville_Airport","http://dbpedia.org/property/cityServed","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Greenville","http://dbpedia.org/ontology/wikiPageDisambiguates","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Illinois_Route_127","http://dbpedia.org/ontology/routeJunction","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Bond_County,_Illinois","http://dbpedia.org/ontology/largestCity","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Bond_County,_Illinois","http://dbpedia.org/ontology/countySeat","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Jars_of_Clay","http://dbpedia.org/ontology/hometown","http://dbpedia.org/resource/Greenville,_Illinois"
"http://dbpedia.org/resource/Greenville,_Illinois","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing"
"http://dbpedia.org/resource/Greenville,_Illinois","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Place"
"http://dbpedia.org/resource/Greenville,_Illinois","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/d0:Location"
"http://dbpedia.org/resource/Greenville,_Illinois","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.opengis.net/gml/_Feature"
"http://dbpedia.org/resource/Greenville,_Illinois","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/PopulatedPlace"
"http://dbpedia.org/resource/Greenville,_Illinois","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Wikidata:Q532"
"http://dbpedia.org/resource/Greenville,_Illinois","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Place"
"http://dbpedia.org/resource/Greenville,_Illinois","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Settlement"
"http://dbpedia.org/resource/Greenville,_Illinois","http://www.w3.org/2000/01/rdf-schema#label","Greenville, Illinois"
"http://dbpedia.org/resource/Greenville,_Illinois","http://www.w3.org/2000/01/rdf-schema#comment","Greenville is a city in Bond County, Illinois, United States, 43 miles (69 km) east of St. Louis. The population as of the 2010 census was 7,000. It is the county seat of Bond County.Greenville is part of the St. Louis Metropolitan Statistical Area."
