"subject","predicate","object"
"http://dbpedia.org/resource/Winterville_Site","http://dbpedia.org/property/nearestTown","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Carol_Schwartz","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Elbert_Foules","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Elbert_Foules","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Elbert_Foules","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://en.wikipedia.org/wiki/Greenville,_Mississippi","http://xmlns.com/foaf/0.1/primaryTopic","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Tavares_Washington","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Tavares_Washington","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Clinton_LeSueur","http://dbpedia.org/ontology/residence","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Tommy_Taylor_(baseball)","http://dbpedia.org/ontology/deathPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Tommy_Taylor_(baseball)","http://dbpedia.org/property/deathPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Tommy_Taylor_(baseball)","http://dbpedia.org/property/placeOfDeath","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/WNIX","http://dbpedia.org/property/city","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/WNIX","http://dbpedia.org/ontology/city","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/WIBT","http://dbpedia.org/property/area","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/WIBT","http://dbpedia.org/ontology/broadcastArea","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Finn_Carter","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Finn_Carter","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Finn_Carter","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Cooper_Carlisle","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Cooper_Carlisle","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Greenville_Bluesmen","http://dbpedia.org/property/city","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Eddie_Hughes","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Eddie_Hughes","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Eddie_Hughes","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Eddie_Tucker","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Eddie_Tucker","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Eddie_Tucker","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/List_of_National_Historic_Landmarks_in_Mississippi","http://dbpedia.org/property/address","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/T-Model_Ford","http://dbpedia.org/ontology/deathPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/WGNG","http://dbpedia.org/property/area","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Hodding_Carter","http://dbpedia.org/ontology/deathPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Mississippi_Highway_1","http://dbpedia.org/ontology/routeJunction","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Antonio_Johnson","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Antonio_Johnson","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Quentin_Groves","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Quentin_Groves","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Charles_S._Morehead","http://dbpedia.org/ontology/deathPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Charles_S._Morehead","http://dbpedia.org/property/deathPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Charles_S._Morehead","http://dbpedia.org/property/placeOfDeath","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/William_Attaway","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/William_Attaway","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/William_Attaway","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/John_Ramsey_Miller","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/National_Register_of_Historic_Places_listings_in_Washington_County,_Mississippi","http://dbpedia.org/property/city","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Corey_Holmes","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Corey_Holmes","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Corey_Holmes","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Steve_Azar","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Steve_Azar","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Sam_Chu_Lin","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Sam_Chu_Lin","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Jim_Henson","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Greenville","http://dbpedia.org/ontology/wikiPageDisambiguates","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/WXVT","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/WXVT","http://dbpedia.org/property/location","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/WNBD-LD","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/WNBD-LD","http://dbpedia.org/property/location","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/WABG-TV","http://dbpedia.org/property/location","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Jimmie_Giles","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Mississippi"
"http://dbpedia.org/resource/Greenville,_Mississippi","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing"
"http://dbpedia.org/resource/Greenville,_Mississippi","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/City"
"http://dbpedia.org/resource/Greenville,_Mississippi","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/City"
"http://dbpedia.org/resource/Greenville,_Mississippi","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Place"
"http://dbpedia.org/resource/Greenville,_Mississippi","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Settlement"
"http://dbpedia.org/resource/Greenville,_Mississippi","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Wikidata:Q532"
"http://dbpedia.org/resource/Greenville,_Mississippi","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Place"
"http://dbpedia.org/resource/Greenville,_Mississippi","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/PopulatedPlace"
"http://dbpedia.org/resource/Greenville,_Mississippi","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/Greenville,_Mississippi","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.opengis.net/gml/_Feature"
