"subject","predicate","object"
"http://dbpedia.org/resource/Jim_Mallory","http://dbpedia.org/property/deathPlace","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/Dowdy%E2%80%93Ficklen_Stadium","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/2005_Southern_Miss_Golden_Eagles_football_team","http://dbpedia.org/property/siteCityst","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/2009_UCF_Knights_football_team","http://dbpedia.org/property/siteCityst","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/East_Carolina_Pirates_football,_1990%E2%80%9399","http://dbpedia.org/property/siteCityst","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/Troy_Smith_(wide_receiver)","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/Troy_Smith_(wide_receiver)","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/1966%E2%80%9367_The_Citadel_Bulldogs_basketball_team","http://dbpedia.org/property/siteCityst","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/2012%E2%80%9313_Loyola_Greyhounds_men's_basketball_team","http://dbpedia.org/property/siteCityst","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/2012%E2%80%9313_Campbell_Fighting_Camels_basketball_team","http://dbpedia.org/property/siteCityst","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/East_Carolina_Pirates_football","http://dbpedia.org/property/siteCityst","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/James_L._Fleming_House","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/WNCT-TV","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/WNCT-TV","http://dbpedia.org/property/location","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/WNCT-TV","http://dbpedia.org/ontology/locationCity","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/1990_Southern_Miss_Golden_Eagles_football_team","http://dbpedia.org/property/siteCityst","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/Dave_Barnhill","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/Dave_Barnhill","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/Dave_Barnhill","http://dbpedia.org/property/birthDate","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/List_of_American_football_stadiums_by_capacity","http://dbpedia.org/property/city","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/EastCare","http://dbpedia.org/ontology/foundationPlace","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/EastCare","http://dbpedia.org/ontology/locationCity","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/EastCare","http://dbpedia.org/property/locationCity","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/East_Carolina_University","http://dbpedia.org/property/city","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/East_Carolina_University","http://dbpedia.org/ontology/city","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/Jermaine_Williams_(American_football)","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/Jermaine_Williams_(American_football)","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/Jermaine_Williams_(American_football)","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/2013%E2%80%9314_Old_Dominion_Monarchs_basketball_team","http://dbpedia.org/property/siteCityst","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/North_Carolina_Highway_43","http://dbpedia.org/ontology/routeJunction","http://dbpedia.org/resource/Greenville,_North_Carolina"
"http://dbpedia.org/resource/Greenville,_North_Carolina","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing"
"http://dbpedia.org/resource/Greenville,_North_Carolina","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.opengis.net/gml/_Feature"
"http://dbpedia.org/resource/Greenville,_North_Carolina","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/City"
"http://dbpedia.org/resource/Greenville,_North_Carolina","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/City"
"http://dbpedia.org/resource/Greenville,_North_Carolina","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/d0:Location"
"http://dbpedia.org/resource/Greenville,_North_Carolina","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Settlement"
"http://dbpedia.org/resource/Greenville,_North_Carolina","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Place"
"http://dbpedia.org/resource/Greenville,_North_Carolina","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
