"subject","predicate","object"
"http://dbpedia.org/resource/Greenville,_PA","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/UN/LOCODE:USGNP","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/National_Register_of_Historic_Places_listings_in_Mercer_County,_Pennsylvania","http://dbpedia.org/property/city","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Julie_Quinn","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Julie_Quinn","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Pennsylvania_Route_358","http://dbpedia.org/ontology/routeStart","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Gus_Kefurt","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Gus_Kefurt","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Gus_Kefurt","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Orlando_Plummer","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Orlando_Plummer","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Orlando_Plummer","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Nolan_Reimold","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Nolan_Reimold","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Nolan_Reimold","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/List_of_Lambda_Chi_Alpha_chapters","http://dbpedia.org/property/location","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Pennsylvania_Route_846","http://dbpedia.org/ontology/routeEnd","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Thiel_College","http://dbpedia.org/property/city","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Thiel_College","http://dbpedia.org/ontology/city","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://en.wikipedia.org/wiki/Greenville,_Pennsylvania","http://xmlns.com/foaf/0.1/primaryTopic","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Polly_Bukta","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Polly_Bukta","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Polly_Bukta","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Greenville","http://dbpedia.org/ontology/wikiPageDisambiguates","http://dbpedia.org/resource/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Place"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/d0:Location"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/PopulatedPlace"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Wikidata:Q532"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Place"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/AdministrativeRegion"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/AdministrativeArea"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Region"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/2000/01/rdf-schema#label","Greenville, Pennsylvania"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/2000/01/rdf-schema#comment","Greenville is a borough in Mercer County, Pennsylvania. Located along the Shenango River, Greenville is roughly 80 miles from both Pittsburgh and Cleveland. Greenville is part of the Youngstown–Warren–Boardman, OH-PA Metropolitan Statistical Area, which is home to 570,000 people. Thiel College is located in Greenville."
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/2002/07/owl#sameAs","http://pt.dbpedia.org/resource/Greenville_(Pensilvânia)"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Greenville_(Pensilvania)"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/2002/07/owl#sameAs","http://nl.dbpedia.org/resource/Greenville_(Pennsylvania)"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://www.w3.org/2002/07/owl#sameAs","http://www.wikidata.org/entity/Q1181726"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/hasPhotoCollection","http://wifo5-03.informatik.uni-mannheim.de/flickrwrappr/photos/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/name","Greenville"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/category","http://dbpedia.org/resource/Borough_(Pennsylvania)"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/region","http://dbpedia.org/resource/Mercer_County,_Pennsylvania"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/map","Map of Greenville, Mercer County, Pennsylvania Highlighted.png"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/map","Pennsylvania Locator Map.PNG"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/map","Map of USA PA.svg"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://xmlns.com/foaf/0.1/homepage","http://www.greenvilleborough.com"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/areaImperial",2.1
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/populationDensityImperial",3038.1
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://xmlns.com/foaf/0.1/isPrimaryTopicOf","http://en.wikipedia.org/wiki/Greenville,_Pennsylvania"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/ontology/wikiPageRevisionID",590682332
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/ontology/wikiPageRevisionID",618957803
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/ontology/wikiPageID",133223
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Commons_category"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:USCensusPop"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Convert"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Geobox"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Mercer_County,_Pennsylvania"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Citation_needed"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Reflist"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Use_mdy_dates"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Coord"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/ontology/populationTotal",6380
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/population",6380
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/populationAsOf",2000
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/map2Caption","Location of Pennsylvania in the United States"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/state","Pennsylvania"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://xmlns.com/foaf/0.1/name","Greenville"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/utcOffset",-4
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/ontology/timeZone","http://dbpedia.org/resource/Eastern_Time_Zone"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/ontology/postalCode","16125"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/ontology/type","http://dbpedia.org/resource/Borough_(Pennsylvania)"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/ontology/areaCode","724"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/areaCode",724
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/mapCaption","Location of Greenville in Mercer County"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/timezoneDst","http://dbpedia.org/resource/Eastern_Daylight_Time"
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/utcOffsetDst",-5
"http://dbpedia.org/resource/Greenville,_Pennsylvania","http://dbpedia.org/property/postalCode",16125
