"subject","predicate","object"
"http://dbpedia.org/resource/Elisha_Whittlesey","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Elisha_Whittlesey","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/The_Gunnery","http://dbpedia.org/ontology/city","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/The_Gunnery","http://dbpedia.org/property/city","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/National_Register_of_Historic_Places_listings_in_Litchfield_County,_Connecticut","http://dbpedia.org/property/city","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Washington","http://dbpedia.org/ontology/wikiPageDisambiguates","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Orville_H._Platt","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Orville_H._Platt","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Orville_H._Platt","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/St._Andrew's_Episcopal_Church_(Washington,_Connecticut)","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Benjamin_Foulois","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Benjamin_Foulois","http://dbpedia.org/ontology/restingPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Benjamin_Foulois","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Benjamin_Foulois","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Benjamin_Foulois","http://dbpedia.org/property/placeofburial","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Connecticut_Route_199","http://dbpedia.org/ontology/routeEnd","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Connecticut_Route_341","http://dbpedia.org/ontology/routeEnd","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Connecticut_Route_45","http://dbpedia.org/ontology/routeStart","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Connecticut_Route_47","http://dbpedia.org/ontology/routeEnd","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/MOMIX","http://dbpedia.org/ontology/hometown","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Henry_Siddons_Mowbray","http://dbpedia.org/property/deathPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Rufus_Easton","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://es.dbpedia.org/resource/Washington_(Connecticut)","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Janet_Beecher","http://dbpedia.org/ontology/deathPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Janet_Beecher","http://dbpedia.org/property/deathPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Janet_Beecher","http://dbpedia.org/property/placeOfDeath","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Calhoun-Ives_Historic_District","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Seth_Porter_Ford","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Seth_Porter_Ford","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/New_Preston_Hill_Historic_District","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Elisha_Mitchell","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Elisha_Mitchell","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Elisha_Mitchell","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Washington,_Connecticut"
"http://en.wikipedia.org/wiki/Washington,_Connecticut","http://xmlns.com/foaf/0.1/primaryTopic","http://dbpedia.org/resource/Washington,_Connecticut"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/UrbanArea108675967"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/PhysicalEntity100001930"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/GeographicalArea108574314"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Object100002684"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/District108552138"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Town"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/AdministrativeDistrict108491826"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Place"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Town108665504"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoLegalActorGeo"
"http://dbpedia.org/resource/Washington,_Connecticut","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Municipality108626283"
