"subject","predicate","object"
"http://dbpedia.org/resource/Washington_(LA)","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Tommy_Tate","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Tommy_Tate","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Tommy_Tate","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Washington","http://dbpedia.org/ontology/wikiPageDisambiguates","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Oramel_H._Simpson","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Oramel_H._Simpson","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Oramel_H._Simpson","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Louisiana_Highway_10","http://dbpedia.org/ontology/routeJunction","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Louisiana_Highway_182","http://dbpedia.org/ontology/routeJunction","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Arlington_Plantation_House_(Washington,_Louisiana)","http://dbpedia.org/ontology/nearestCity","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Arlington_Plantation_House_(Washington,_Louisiana)","http://dbpedia.org/property/nearestCity","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/John_M._Parker","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/John_M._Parker","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/John_M._Parker","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/William_A._Robertson","http://dbpedia.org/ontology/deathPlace","http://dbpedia.org/resource/Washington,_Louisiana"
"http://pt.dbpedia.org/resource/Washington_(Luisiana)","http://www.w3.org/2002/07/owl#sameAs","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/KNEK_(AM)","http://dbpedia.org/ontology/city","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/KNEK_(AM)","http://dbpedia.org/property/city","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/KNEK-FM","http://dbpedia.org/ontology/city","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/KNEK-FM","http://dbpedia.org/property/city","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/National_Register_of_Historic_Places_listings_in_St._Landry_Parish,_Louisiana","http://dbpedia.org/property/city","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Louisiana_Highway_103","http://dbpedia.org/ontology/routeJunction","http://dbpedia.org/resource/Washington,_Louisiana"
"http://dbpedia.org/resource/Washington,_LA","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Washington,_Louisiana"
