"subject","predicate","object"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Region108630985"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoLegalActorGeo"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoGeoEntity"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.opengis.net/gml/_Feature"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/District108552138"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Place"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Municipality108626283"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Place"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/PopulatedPlace"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/AdministrativeDistrict108491826"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/UrbanArea108675967"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/GeographicalArea108574314"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Settlement"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/TownsInKnoxCounty,Maine"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Object100002684"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Town108665504"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Location100027167"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/PhysicalEntity100001930"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Town"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/2002/07/owl#sameAs","http://www.wikidata.org/entity/Q3448011"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/2002/07/owl#sameAs","http://sws.geonames.org/4982172/"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/2002/07/owl#sameAs","http://kk.dbpedia.org/resource/Вашингтон_(Мэн)"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/2002/07/owl#sameAs","http://ca.dbpedia.org/resource/Washington_(Maine)"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/2002/07/owl#sameAs","http://ht.dbpedia.org/resource/Washington,_Maine"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/2002/07/owl#sameAs","http://rdf.freebase.com/ns/m.0tqlf"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/2002/07/owl#sameAs","http://vo.dbpedia.org/resource/Washington_(Maine)"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/2002/07/owl#sameAs","http://es.dbpedia.org/resource/Washington_(Maine)"
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/2002/07/owl#sameAs","http://yago-knowledge.org/resource/Washington,_Maine"
"http://dbpedia.org/resource/Washington,_Maine","http://purl.org/dc/terms/subject","http://dbpedia.org/resource/Category:Towns_in_Knox_County,_Maine"
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/PopulatedPlace/areaTotal","101.5275339251712"
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/PopulatedPlace/areaTotal","101.53"
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/PopulatedPlace/populationDensity","15.48269655755208"
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/PopulatedPlace/populationDensity","15.5"
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/abstract","Washington es un pueblo ubicado en el condado de Knox en el estado estadounidense de Maine. En el Censo de 2010 tenía una población de 1.527 habitantes y una densidad poblacional de 15,04 personas por km²."
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/abstract","Washington is a town in Knox County, Maine, United States. The population was 1,527 at the 2010 census."
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/areaCode","207"
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/areaLand",98523147.71718144
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/areaLand",98520000
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/areaTotal",101530000
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/areaTotal",101527533.9251712
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/areaWater",3000000
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/areaWater",3004386.20798976
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/United_States"
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/elevation",103
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/elevation",103.0224
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/foundingDate",1811-02-27
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/populationDensity",15.48269655755208
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/populationDensity",15.5
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/populationTotal",1527
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/postalCode","04574"
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/timeZone","http://dbpedia.org/resource/Eastern_Time_Zone"
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/utcOffset","-5"
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/utcOffset","-4"
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/wikiPageID",116049
"http://dbpedia.org/resource/Washington,_Maine","http://dbpedia.org/ontology/wikiPageRevisionID",541335025
"http://dbpedia.org/resource/Washington,_Maine","http://www.w3.org/2000/01/rdf-schema#label","Washington, Maine"
