"subject","predicate","object"
"http://dbpedia.org/resource/Henry_H._Crocker","http://dbpedia.org/ontology/restingPlace","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/National_Register_of_Historic_Places_listings_in_Warren_County,_New_Jersey","http://dbpedia.org/property/city","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Johnston_Cornish","http://dbpedia.org/ontology/deathPlace","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Johnston_Cornish","http://dbpedia.org/property/deathPlace","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Johnston_Cornish","http://dbpedia.org/property/placeOfDeath","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Ron_Mrozinski","http://dbpedia.org/ontology/deathPlace","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Ron_Mrozinski","http://dbpedia.org/property/deathPlace","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Ron_Mrozinski","http://dbpedia.org/property/placeOfDeath","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Washington,_NJ","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Warren_County_Technical_School","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Warren_Hills_High_School","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Washington_Railroad_Station","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Christian_Sharps","http://dbpedia.org/ontology/birthPlace","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Christian_Sharps","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Christian_Sharps","http://dbpedia.org/property/placeOfBirth","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Washington","http://dbpedia.org/ontology/wikiPageDisambiguates","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/New_Jersey_Route_31","http://dbpedia.org/ontology/routeJunction","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/New_Jersey_Route_57","http://dbpedia.org/ontology/routeJunction","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Washington_(NJ)","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/UN/LOCODE:USWQY","http://dbpedia.org/ontology/wikiPageRedirects","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Good_Shepherd_Christian_Academy","http://dbpedia.org/ontology/location","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://en.wikipedia.org/wiki/Washington,_New_Jersey","http://xmlns.com/foaf/0.1/primaryTopic","http://dbpedia.org/resource/Washington,_New_Jersey"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/PhysicalEntity100001930"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Object100002684"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/District108552138"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Thing"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://schema.org/Place"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/BoroughsInWarrenCounty,NewJersey"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/AdministrativeDistrict108491826"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoLegalActorGeo"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Region108630985"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.opengis.net/gml/_Feature"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/Location100027167"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/Settlement"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/class/yago/YagoGeoEntity"
"http://dbpedia.org/resource/Washington,_New_Jersey","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://dbpedia.org/ontology/PopulatedPlace"
